,date,ibdir,daytype_lag_7,daytype_lag_27,daydir
209,2021-12-28,up,up,outside,up
210,2021-12-29,down,down,down,down
211,2022-01-03,up,down,down,up
212,2022-01-04,up,up,down,up
213,2022-01-05,up,up,down,up
214,2022-01-06,up,up,inside,down
215,2022-01-07,up,up,down,down
216,2022-01-10,down,up,down,down
217,2022-01-11,up,down,down,up
218,2022-01-12,down,up,up,down
219,2022-01-13,up,up,down,up
220,2022-01-14,up,up,outside,down
221,2022-01-17,down,down,inside,down
222,2022-01-18,down,down,up,down
223,2022-01-19,up,down,up,up
224,2022-01-20,down,inside,down,up
225,2022-01-21,up,up,down,down
226,2022-01-24,down,outside,up,down
227,2022-01-25,up,down,down,down
228,2022-01-26,up,inside,inside,up
229,2022-01-27,up,down,up,up
230,2022-01-28,down,outside,down,down
231,2022-01-31,up,up,down,down
232,2022-02-01,down,down,up,down
233,2022-02-02,down,down,up,down
234,2022-02-03,down,inside,up,down
235,2022-02-04,down,up,up,down
236,2022-02-07,down,outside,up,down
237,2022-02-08,up,down,down,up
238,2022-02-09,up,up,up,up
239,2022-02-10,down,up,up,down
240,2022-02-11,down,up,up,up
241,2022-02-14,down,down,down,up
242,2022-02-15,up,down,down,up
243,2022-02-16,up,inside,down,down
244,2022-02-17,down,up,inside,down
245,2022-02-18,down,up,up,down
246,2022-02-21,down,up,outside,down
247,2022-02-22,up,down,down,up
248,2022-02-23,up,down,inside,down
249,2022-02-24,up,up,down,up
250,2022-02-25,down,up,outside,up
251,2022-02-28,down,down,up,up
252,2022-03-01,down,down,down,down
253,2022-03-02,down,down,down,up
254,2022-03-03,down,down,inside,down
255,2022-03-04,down,up,up,down
256,2022-03-07,up,down,outside,up
257,2022-03-08,up,up,down,up
258,2022-03-09,up,inside,up,up
259,2022-03-10,down,down,up,down
260,2022-03-11,up,down,up,up
261,2022-03-14,up,down,down,up
262,2022-03-15,down,down,down,up
263,2022-03-16,up,down,inside,up
264,2022-03-17,down,inside,up,down
265,2022-03-18,down,up,up,up
266,2022-03-21,up,inside,up,down
267,2022-03-22,up,up,down,up
268,2022-03-23,down,up,down,down
269,2022-03-24,down,down,up,down
270,2022-03-25,down,up,up,down
271,2022-03-28,up,inside,down,up
272,2022-03-29,up,down,down,up
273,2022-03-30,down,up,down,down
274,2022-03-31,down,up,down,down
275,2022-04-01,down,outside,up,down
